id,key,name,website,is_recruitment,confidence,reasons
14,sierra,Sierra,https://jobs.ashbyhq.com/sierra,False,0.8,"Website is a job board hosted on Ashby (an ATS) for internal hiring, typical of employers, not staffing agencies. | No description or indication of recruitment services provided. | Name 'Sierra' does not suggest recruitment/staffing specialization."
27,reedsy,Reedsy,https://reedsy.com/,False,0.95,"Reedsy is a marketplace for publishing freelancers, not a recruitment agency. | It connects authors with freelance professionals, not placing candidates into roles at employers. | No evidence of traditional recruitment or staffing services."
38,n8n,N8n,https://jobs.ashbyhq.com/n8n,False,1.0,"N8n is a workflow automation company, not a recruitment or staffing agency | The provided URL is a career page for hiring their own employees, not placing candidates at other employers | No evidence of candidate placement services for fees"
82,confluent,Confluent,https://jobs.ashbyhq.com/confluent,False,0.98,"Confluent is a data streaming platform company, not a recruitment/staffing firm | The website is a career page for their own internal hiring | No indication of placing candidates at other employers for fees"
121,paddle,Paddle,https://jobs.ashbyhq.com/paddle,False,0.99,"Paddle is a payment infrastructure company, not a recruitment agency. | The provided URL is their own career page for in-house hiring, not a candidate placement service."
140,uipath,Uipath,https://jobs.ashbyhq.com/uipath,False,0.98,"UiPath is a well-known robotic process automation (RPA) software company, not a staffing or recruitment agency. | The provided URL is a careers page for in-house job openings, using an applicant tracking system (Ashby), not a platform for placing candidates at other employers. | No evidence suggests that UiPath's primary business involves charging fees for placing candidates into roles at other companies."
179,flux-computing,Flux Computing,https://jobs.ashbyhq.com/flux-computing,False,0.95,"The URL points to a company's own career page hosted on Ashby, an ATS platform, indicating in-house hiring. | No evidence of recruitment/staffing services; the page likely lists internal job openings."
191,zapier,Zapier,https://jobs.ashbyhq.com/zapier,False,1.0,"Zapier is a SaaS automation tool, not a recruitment firm | The website is their internal careers page, not a candidate placement service"
203,ordio,Ordio,https://jobs.ashbyhq.com/ordio,False,0.7,"Careers page on Ashby ATS, typical for in-house hiring | No indication of recruitment services | Company name 'Ordio' not known as staffing agency"
258,tilt,Tilt,https://jobs.ashbyhq.com/tilt,False,0.95,"Uses Ashby ATS for own job postings, typical of internal hiring, not a staffing firm | No indication of candidate placement for other employers | URL pattern suggests direct employer career page"
